category,subcategory,name,description,url,price,image
Fashion,Jewelry & Accessories,Acetate Oval Sunglasses in Red,"Introducing the Red Acetate Oval Sunglasses, a stylish accessory combining fashion-forward design with superior eye protection - perfect for making a bold statement while ensuring your eyes are safeguarded against the sun's harmful rays.
These sunglasses feature chic oval frames in a striking red hue. The acetate material gives the frames a glossy finish and durable structure, making them both fashionable and long-lasting. The unique oval shape adds a touch of retro glamour. Whether you're heading to the beach, a weekend brunch, or a summer festival, it’s the perfect accessory to elevate your look.
Superior Protection with 100% UV protection, shielding your eyes from harmful UVA and UVB rays. With Category 2 lenses, they are ideal for everyday wear, offering moderate protection against sun glare and suitable for various light conditions. The lenses are made from 100% allyl diglycol carbonate, known for its high optical clarity and impact resistance, ensuring clear vision and durability.
Quality Materials - crafted from a blend of 80% cellulose diacetate and 20% copper, combining strength and flexibility, ensuring that the sunglasses maintain their shape while providing a comfortable fit. The allyl diglycol carbonate lenses are lightweight yet sturdy.
The vibrant red frames add a pop of color to any outfit, while the classic oval shape complements a wide range of face shapes. Whether paired with casual wear or a chic summer dress, these sunglasses are sure to enhance your style.",https://www.zara.com/us/en/acetate-oval-sunglasses-p02727014.html?v1=369519478&v2=2353548,69.9,https://static.zara.net/assets/public/ed03/1d4e/27e94138a8e1/90f8a926633b/02727014600-015-p/02727014600-015-p.jpg?ts=1714747322976&w=1500
Fashion,Jewelry & Accessories,Basket Shoulder Bag with Flower,"The Basket Shoulder Bag with Flower is a charming blend of rustic elegance and contemporary style - designed to add a touch of whimsy and sophistication to your ensemble - whether you're strolling through a farmer's market or heading out for brunch with friends.
This shoulder bag features a spacious interior, and contrasting shoulder strap, made from durable polyurethane, adds a modern twist to the natural straw basket design. A removable flower-shaped charm adorns the strap is a playful accent that can be personalized to suit your mood or outfit. The ruched closure at the interior of the bag ensures your belongings stay secure while adding a touch of texture to the overall look.
Made from high-quality materials to ensure durability and style, the upper part of the bag is crafted from 100% cotton, providing a soft and comfortable feel. The main material is 100% straw, giving the bag its distinctive basket weave texture exuding summertime charm. Inside, the bag is lined with 100% cotton.
This bag offers ample space with 10.2 inches in height, 20.5” in length, and 5.3” in width (26 x 52 x 13.5 cm),. The versatile design allows you to carry it comfortably on your shoulder or in your hand. Suitable for various occasions from casual outings to more formal events, pair with a sundress and sandals or jeans and blouse.
Care Instructions - Gently spot clean with a damp cloth as needed. Avoid submerging in water or using harsh chemicals that may damage the natural fibers.",https://www.zara.com/us/en/basket-shoulder-bag-with-flower-p16002410.html?v1=364102531&v2=2353495,89.9,https://static.zara.net/assets/public/fd80/f73d/6f9d43719f7a/24acb282ce6b/16002410719-e1/16002410719-e1.jpg?ts=1717078647293&w=1500
Fashion,Jewelry & Accessories,Bow Trim Heeled Shoes in Black,"The Bow Trim Heeled Shoes in Black are a sophisticated blend of timeless elegance and sustainable craftsmanship. These high-heeled slingbacks are designed to elevate your look with their chic bow detail and classic silhouette, making them a perfect choice for both formal events and everyday wear.
Crafted with meticulous attention to detail, these slingback shoes feature an elegant bow detail at the front, adding a touch of femininity and sophistication. The pointed toes enhance the sleek silhouette, elongating the legs for a flattering look. The back strap with elastic ensures a secure fit and allow ease of movement, making these shoes both stylish and comfortable.
These heels are crafted from high-quality materials with a commitment to sustainability. The upper, lining, and part of the insole are made from RCS-certified recycled polyester, demonstrating a dedication to eco-friendly practices.
A heel height of 3.9 inches (10 cm) offers a perfect balance between style and comfort. The polyurethane thermoplastic sole provides stability and durability, while the cushioned insole, made from a blend of polyurethane and recycled polyester, ensures all-day comfort. 
The Bow Trim Heeled Shoes in Black are versatile enough to complement a variety of outfits. Pair them with a cocktail dress for an evening event or wear them with tailored pants or a skirt for a professional look.
Care Instructions - To maintain the beauty and durability of your shoes, wipe clean with a soft cloth as needed. ",https://www.zara.com/us/en/bow-trim-heeled-shoes-p13235210.html?v1=323826898&v2=2353418,49.9,https://static.zara.net/assets/public/c8cd/e0f3/fb074eafba2f/322987f21e30/13235210040-e2/13235210040-e2.jpg?ts=1704963688016&w=1500
Fashion,Jewelry & Accessories,Buckled Heeled Shoes,"Introducing the Buckled Heeled Shoes in Cream, a sophisticated blend of modern elegance and timeless style. These slingback heels are designed to elevate your wardrobe with their chic faux patent leather finish and intricate buckle detailing, making them a versatile choice for both casual outings and special occasions.
Pair them with a tailored suit for a professional look, or wear them with a cocktail dress for a night out. Their neutral color and elegant design make them a wardrobe essential that transitions seamlessly from day to evening.
Crafted with attention to detail, these slingback heels feature a faux patent leather finish in a stylish cream hue. The thin buckled straps at the front add a touch of sophistication and visual interest, while the pointed toe silhouette enhances the overall sleek and refined look. A back strap ensures a secure fit, providing comfort and stability with every step.
With a heel height of 2.8 inches (7 cm), these shoes strike the perfect balance between style and comfort. The polyurethane thermoplastic sole offers durability and grip, making them suitable for all-day wear. The cushioned polyurethane insole provides additional comfort, ensuring your feet feel supported throughout the day or night.
Care Instructions - To maintain the beauty and durability of your Buckled Heeled Shoes, wipe them clean with a soft cloth as needed. 
",https://www.zara.com/us/en/buckled-heeled-shoes-p13876310.html?v1=323209722&v2=2353418,49.9,https://static.zara.net/assets/public/8450/daa0/e90f46e0a834/de8d4fe14156/13876310719-ult3/13876310719-ult3.jpg?ts=1708071451314&w=639
Fashion,Jewelry & Accessories,Embroidered Fabric Tote,"Introducing the Embroidered Fabric Tote, a delightful blend of artisan craftsmanship and practical elegance. This multi-color tote bag is designed to be both a stylish accessory and a functional carry-all, perfect for adding a touch of bohemian charm to your everyday ensemble. Pair it with casual denim and a blouse for a relaxed weekend look, or elevate a summer dress with its boho-inspired charm. 
Adorned with intricately embroidered flowers on its exterior, this tote bag showcases meticulous attention to detail and artisanal flair. The multi-color palette lends versatility, allowing you to pair this tote with a variety of outfits.
With dimensions of 12.2 inches in height, 11.6 inches in length, and 0.8 inches in width (31 x 29.5 x 2 cm), this tote offers ample space for your essentials without compromising on style. The sturdy polyester outer shell ensures durability, making it suitable for everyday use. Whether you're heading to the market, beach, or a casual outing, this tote bag effortlessly combines functionality with a unique, handcrafted appeal.
Designed for comfort and convenience, the tote features sturdy handles that allow for easy carrying, whether over your shoulder or in your hand. 
Crafted from 100% polyester, both the outer shell and lining of the tote bag are durable and easy to maintain. Polyester is known for its resilience and color retention, ensuring that the vibrant embroidery and overall structure of the bag remain intact over time.
",https://www.zara.com/us/en/embroidered-fabric-tote-p16314310.html?v1=328328019&v2=2353495,49.9,https://static.zara.net/assets/public/3754/969a/64e347fb9546/0521da43cdfe/16314310202-e1/16314310202-e1.jpg?ts=1713886410179&w=1500
Fashion,Jewelry & Accessories,Eyelet Embroidered Tote Bag,"Introducing the White Embroidered Eyelet Tote Bag, a blend of elegance and functionality that embodies timeless style and practical design. This stunning tote is crafted from intricately embroidered eyelet fabric, offering a chic and sophisticated accessory for any occasion.
Pair it with a summer dress and sandals for a relaxed day out, or use it as a chic carry-on for travel. Its timeless design and intricate embroidery make it a statement piece that adds elegance and sophistication to any ensemble.
The eyelet fabric features intricate patterns that add texture and visual interest, creating a beautifully crafted piece that stands out, making it easy to pair with a variety of outfits, from casual ensembles to more refined looks.
With dimensions of 15.7 inches in height, 19.7 inches in length, and 3.9 inches in width (40 x 50 x 10 cm), this tote offers ample space for all your essentials. Whether you're heading to the beach, running errands, or traveling, the generous size ensures you can carry everything you need with ease. The outer shell and interior are lined with 100% cotton, interior includes a zip pocket.
The tote features sturdy shoulder straps made from 100% polyurethane. The straps are crafted to provide a comfortable fit over your shoulder, and durability ensures they can withstand daily wear while maintaining their shape and functionality. 
To preserve the beauty and longevity of your tote bag, spot clean with a damp cloth as needed. ",https://www.zara.com/us/en/embroidered-tote-bag-p16067310.html?v1=375758755&v2=2353495,49.9,https://static.zara.net/assets/public/2451/e026/322c4bed90d4/ad1d3946cc52/16067310850-p/16067310850-p.jpg?ts=1716549331674&w=1500
Fashion,Jewelry & Accessories,Flat Strappy Black Sandals with Metal Embellishment,"Introducing the Flat Strappy Black Sandals with Metal Embellishment, a blend of style and comfort designed to enhance your casual and special occasion attire. These sandals boast a minimalist yet sophisticated design, featuring thin black straps that delicately crisscross over the foot. At the toe, a subtle yet eye-catching metal embellishment adds a touch of elegance and refinement. The black straps create a clean and versatile look, ensuring these sandals pair effortlessly with a range of outfits from jeans and a blouse to summer dresses.
With a sole height of 0.6 inches (1.5 cm), these sandals offer a comfortable fit suitable for prolonged wear. The buckle closure provides a secure, adjustable fit. Whether you're walking through city streets or lounging by the beach, these sandals promise stability and ease.
Constructed from durable materials, the straps are made from sturdy and flexible materials that conform comfortably to your feet, ensuring a snug and supportive fit.
Versatility is key with these sandals, as they effortlessly transition from day to night and casual to dressy occasions. Pair them with your favorite summer ensemble for a laid-back look or dress them up with a chic evening outfit. Their classic black color and minimalist design make them a timeless addition to your footwear collection.
To maintain the sandals' quality, gently wipe them clean with a soft cloth as needed. Avoid exposure to harsh chemicals or excessive moisture, which may damage the materials. ",https://www.zara.com/us/en/flat-strappy-sandals-with-metal-embellishment-p11610310.html?v1=352079925&v2=2353418,49.9,https://static.zara.net/assets/public/26e7/bbcc/693e4636914e/1b6aae41c315/11610310800-ult/11610310800-ult.jpg?ts=1707929556355&w=639
Fashion,Jewelry & Accessories,Floral Ballet Flats,"Introducing the Floral Ballet Flats, a delightful blend of comfort and style designed to complement your wardrobe with a touch of floral elegance. These flat ballet shoes feature a charming floral print that adds a whimsical yet sophisticated flair, perfect for pairing with the embroidered fabric tote or enhancing any casual or semi-formal ensemble. Whether you're heading to a brunch date or a day of errands, these flats are sure to brighten your day.
Designed for comfort as well as style, these ballet flats feature a sole height of 0.4 inches (1 cm) that offers a lightweight and flexible feel. The polyurethane thermoplastic sole provides durability and grip. A back pull tab at the heel allows for easy slip-on and off.
Crafted from high-quality materials, these ballet flats are both stylish and durable. The upper is made from 90% polyamide and 10% polyester, offering a soft and breathable fit that molds comfortably to your feet. The polyamide lining enhances comfort and helps maintain a cool interior, while the polyurethane insole provides cushioning and support throughout the day.
Versatility is key with the Floral Ballet Flats, as they effortlessly transition from day to night and complement various outfits. Pair them with jeans and a blouse for a relaxed weekend look, or wear them with a sundress for a chic summer ensemble.
Spot clean with a damp cloth as needed. Avoid exposure to moisture or harsh chemicals that may affect the materials or print. 
",https://www.zara.com/us/en/floral-flats-p11563310.html?v1=375320196&v2=2353418,49.9,https://static.zara.net/assets/public/8894/59ec/106e4bd289a4/35df1895902c/11563310002-p/11563310002-p.jpg?ts=1716454945833&w=1500
Fashion,Jewelry & Accessories,Mother of Pearl Style Clutch,"Introducing the Box-shaped Mother of Pearl Effect Evening Bag. This clutch purse is designed to be your go-to companion for special occasions, offering a timeless appeal with its boxy silhouette and shimmering mother of pearl finish.
The mother of pearl effect adds a luxurious touch, reflecting light and subtly shimmering with every movement. Perfect for formal events or evenings out, this clutch effortlessly elevates your ensemble.
Equipped with a chain crossbody strap, this evening bag offers versatility in how you carry it. Wear it across your body for hands-free convenience or tuck the chain inside to carry it as a chic clutch.
Despite its compact dimensions of 4.3 inches in height, 8.7 inches in length, and 2.8 inches in width (11 x 22 x 7 cm), this clutch purse provides ample space for essentials such as your phone, keys, and makeup. The polyester lining inside protects your belongings from scratches.
Made from a blend of 80% acrylic and 20% iron, the outer shell of this evening bag is both durable and lightweight.
The box-shaped silhouette and mother of pearl effect of this evening bag make it a timeless piece that complements various outfits and occasions. Whether paired with a sleek cocktail dress or an elegant gown, this clutch adds a touch of refinement and elegance to your ensemble.
To preserve the beauty of your evening bag, gently wipe it with a soft cloth as needed. Store it in a dust bag when not in use to protect it from scratches.",https://www.zara.com/us/en/gold-closure-box-clutch-p16517310.html?v1=329636459&v2=2353495,69.9,https://static.zara.net/assets/public/bd42/9e23/a2334d79a086/bf1adef2139c/16517310850-e2/16517310850-e2.jpg?ts=1714997044997&w=1500
Fashion,Jewelry & Accessories,Heeled Sandals with Bows,"The Heeled Sandals with bows in a pale robin's egg blue are designed to elevate your style with their delicate double bow detail, slim front straps, and a classic rounded toe, all set atop a graceful thin heel.
The double bow detail adds a feminine touch, perfectly complementing the slender front straps that delicately frame the foot. Whether you're dressing up for a wedding, garden party, or a night out, these sandals effortlessly enhance your ensemble with their sophisticated design.
Despite their slender appearance, these sandals prioritize comfort without compromising on style. The 3.5-inch (9 cm) heel provides a flattering lift while maintaining stability, making them suitable for extended wear. The polyurethane sole ensures durability and flexibility, allowing for ease of movement with every step.
Crafted from high-quality materials, these sandals feature an upper, lining, sole, and insole all made from 100% polyurethane. ensuring a soft supple feel against your skin, while also offering durability and provides cushioned support, enhancing comfort throughout the day or evening.
The soft robin's egg blue color of these sandals makes them a versatile addition to your wardrobe. Pair them with a flowing sundress for a relaxed summer look or wear them with tailored trousers and a blouse for a sophisticated office ensemble. Their timeless appeal allows them to transition seamlessly from day to night.
Gently wipe them clean with a soft cloth as needed. ",https://www.zara.com/us/en/heeled-sandals-with-bows-p12343310.html?v1=368742213&v2=2353418,59.9,https://static.zara.net/assets/public/7e0f/0b4f/3971478fa8c5/50ab61fa3537/12343310400-p/12343310400-p.jpg?ts=1716298697166&w=1500
